title,year
"Unstoppable",2010
"The Hunt for Red October",1990
"The Fly",1986
"The Rocky Horror Picture Show",1975
"Pride & Prejudice",2005
"The Bourne Supremacy",2004
"Blood Diamond",2006
"Dead Poets Society",1989
"Children of Men",2006
"The Bourne Identity",2002
"12 Monkeys",1995
"A Clockwork Orange",1972
"My Cousin Vinny",1992
"Casino",1995
"Naked Lunch",1991
"Alien³",1992
"The Devil's Backbone",2001
"Cronos",1993
"Willy Wonka & the Chocolate Factory",1971
"Season of the Witch",2011
"Anaconda",1997
"Scream 3",2000
"American Ultra",2015
"Tales from the Crypt",1972
"Edward Scissorhands",1990
"Bubba Ho-Tep",2003
"Phantasm",1979
"House",1986
"The Ring",2002
"Children of the Corn",1984
"Next",2007
"The Happiness of the Katakuris",2002
"The Changeling",1980
"Evel Knievel",2004
"Machete Kills",2013
"Blood Father",2016
"What Women Want",2000
"101 Dalmatians",1996
"Roman J. Israel, Esq.",2017
"Antwone Fisher",2002
"Barking Dogs Never Bite",2000
"The Hunger",1983
"Hellraiser",1987
"Dead Ringers",1988
"Bone Tomahawk",2015
"He Got Game",1998
"Dracula A.D. 1972",1972
"Scream 2",1997
"Halloween II",1981
"Horror of Dracula",1958
"The Mummy",1959
"The Wicker Man",1973
"Multiple Maniacs",2022
"Jackass 2.5",2007
"Critters",1986
"Cujo",1983
"The Last House on the Left",1972
"The Hills Have Eyes",1977
"Don't Torture a Duckling",1972
"Still Smokin",1983
"Honest Thief",2020
"The Chronicles of Narnia: Prince Caspian",2008
"Half Baked",1998
"Spy Kids",2001
"Timecop",1994
"The Day the Earth Stood Still",2008
"Licence to Kill",1989
"From Russia with Love",1963
"21",2008
"The Indian in the Cupboard",1995
"First Knight",1995
"Clifford",1994
"Stranger Than Paradise",1984
"Permanent Vacation",1984
"The Animatrix",2003
"Coming to America",1988
"X-Men: The Last Stand",2006
"Mr. & Mrs. Smith",2005
"The Great Escape",1963
"Dr. No",1962
"Quantum of Solace",2008
"Goldfinger",1964
"Gone with the Wind",1940
"The Little Mermaid",1989
"Back to the Future Part III",1990
"Pirates of the Caribbean: Dead Man's Chest",2006
"Sherlock Holmes",2009
"What We Do in the Shadows",2014
"Images",1972
"Class of 1984",1982
"Rabid",1977
"How the Grinch Stole Christmas!",1966
"Christmas with the Kranks",2004
"A Very Harold & Kumar Christmas",2011
"A Christmas Carol",2009
"How the Grinch Stole Christmas",2000
"Krampus",2015
"Rare Exports",2010
"Friday the 13th",1980
"A Nightmare on Elm Street",1984
"A Bay of Blood",1971
"The Texas Chain Saw Massacre",1974
"Vampire in Brooklyn",1995
"Body Bags",1993
"Christine",1983
"Class of 1999",1990
"Pet Sematary",1989
"The Omen",1976
"The Crow",1994
"Sin City",2005
"The Last Boy Scout",1991
"The Taking of Pelham 123",2009
"Flight",2012
"The People Under the Stairs",1991
"Outbreak",1995
"An Autumn Afternoon",1962
"The Cars That Ate Paris",1974
"Johnny Mnemonic",1995
"The Book of Eli",2010
"Deliverance",1972
"Moonrise Kingdom",2012
"Raiders of the Lost Ark",1981
"Kill Bill: Vol. 1",2003
"Kill Bill: Vol. 2",2004
"Kingpin",1996
"Super Size Me",2004
"Sophie's Choice",1982
"Austin Powers in Goldmember",2002
"Osaka Elegy",1936
"The Fox and the Hound",1981
"The Princess Diaries",2001
"The Outsiders",1983
"Harold & Kumar Go to White Castle",2004
"Indiana Jones and the Kingdom of the Crystal Skull",2008
"A Knight's Tale",2001
"Rambo",2008
"Rudy",1993
"Basic Instinct",1992
"Robin Hood",1973
"The Bucket List",2007
"The Life Aquatic with Steve Zissou",2004
"Step Brothers",2008
"La haine",1995
"Rushmore",1999
"28 Weeks Later",2007
"Blazing Saddles",1974
"King Kong",2005
"Jumanji",1995
"Misery",1990
"Remember the Titans",2000
"Mean Girls",2004
"Young Frankenstein",1974
"Indiana Jones and the Temple of Doom",1984
"Back to the Future Part II",1989
"The Bourne Ultimatum",2007
"Prince of Darkness",1987
"Zebraman",2004
"The Emperor's New Groove",2000
"Harry Potter and the Half-Blood Prince",2009
"Abraham Lincoln: Vampire Hunter",2012
"Skyfall",2012
"The Last Airbender",2010
"Die Hard with a Vengeance",1995
"The Blind Side",2009
"No Country for Old Men",2007
"Back to the Future",1985
"Pulp Fiction",1994
"Fight Club",1999
"Bones",1991
"Prom Night",1980
"The Blob",1958
"Demons",1985
"Opera",1987
"Videodrome",1983
"Army of Darkness",1992
"Titanic",1997
"Indiana Jones and the Last Crusade",1989
"Léon: The Professional",1994
"Saving Private Ryan",1998
"The George McKenna Story",1986
"American Gangster",2007
"Gangs of New York",2002
"Shutter Island",2010
"Goodfellas",1990
"The Pelican Brief",1993
"Philadelphia",1993
"Safe House",2012
"Kicking & Screaming",2005
"Crank",2006
"Cold Sweat",1970
"Boy",2010
"2012",2009
"Maximum Risk",1996
"For a Few Dollars More",1965
"Her",2013
"Wake in Fright",1971
"Crimson Tide",1995
"Rambo: Last Blood",2019
"Godzilla",1954
"A Fistful of Dollars",1964
"Phenomena",1985
"Deja Vu",2006
"Virtuosity",1995
"Somewhere",2010
"Second in Command",2006
"Hard Target",1993
"Kill, Baby... Kill!",1970
"The Man from Nowhere",2010
"Man on Fire",2004
"Jurassic Park III",2001
"Men in Black II",2002
"Men in Black",1997
"eXistenZ",1999
"Mr. Popper's Penguins",2011
"The Mummy",1932
"Prisoners of the Ghostland",2021
"Bangkok Dangerous",2008
"The Sorcerer's Apprentice",2010
"Adaptation.",2002
"Pig",2021
"Machete",2010
"Taken 2",2012
"The Cat o' Nine Tails",1971
"Inferno",1980
"The World's End",2013
"Street Law",1974
"Hara-Kiri: Death of a Samurai",2011
"The Game",1997
"Suspiria",1977
"I Love You Phillip Morris",2010
"Fun with Dick and Jane",2005
"Nacho Libre",2006
"Annie",1982
"Saturday Night Fever",1977
"Bend It Like Beckham",2002
"Twister",1996
"Deep Red",1975
"Blood and Black Lace",1964
"American History X",1998
"Bambi",1942
"Willow",1988
"The Lost World: Jurassic Park",1997
"House on Haunted Hill",1959
"Cockfighter",2013
"The Shooting",1968
"The Bird with the Crystal Plumage",1970
"Halloween",1978
"Milk",2008
"The Delta Force",1986
"Piranha",1978
"Coffy",1973
"Foxy Brown",1974
"'Sheba, Baby'",1976
"Cheaper by the Dozen",2003
"The Wedding Singer",1998
"50 First Dates",2004
"The Long Goodbye",1973
"Commando",1985
"The Expendables 3",2014
"The Expendables 2",2012
"A Chinese Ghost Story",1987
"Once Upon a Time in China",1991
"Grey Gardens",1976
"Rollerball",1975
"Flubber",1997
"The Parent Trap",1961
"Serial Mom",1994
"Shaft",2000
"Jesus Camp",2006
"Osmosis Jones",2001
"Die Another Day",2002
"Blast from the Past",1999
"Tenacious D in the Pick of Destiny",2006
"Audition",2000
"Demolition Man",1993
"Punch-Drunk Love",2002
"The Day After Tomorrow",2004
"The Good, the Bad and the Ugly",1966
"Under Siege",1992
"Mars Attacks!",1996
"I Am Sam",2002
"Violent Cop",1989
"Hunt for the Wilderpeople",2016
"The Iron Giant",1999
"Fantastic Mr. Fox",2009
"Gattaca",1997
"Harry Potter and the Deathly Hallows: Part 2",2011
"Speed",1994
"Minority Report",2002
"Dave Chappelle: Sticks & Stones",2019
"The Fog",1980
"2046",2004
"Night of the Living Dead",1968
"Dawn of the Dead",2004
"Doctor Dolittle",1998
"Real Life",1979
"Drive",2011
"High Crime",1973
"The American",2010
"Harry Potter and the Deathly Hallows: Part 1",2010
"Harry Potter and the Goblet of Fire",2005
"Arrival",2016
"Mad Max: Fury Road",2015
"Finding Nemo",2003
"Monsters, Inc.",2001
"Toy Story",1995
"Valley Girl",1983
"Black Sunday",1960
"Django",1966
"Ichi the Killer",2001
"Jiro Dreams of Sushi",2012
"Nosferatu: A Symphony of Horror",1922
"Army of the Dead",2021
"Cloverfield",2008
"Natural Born Killers",1994
"High Fidelity",2000
"The Girl with the Dragon Tattoo",2009
"Transformers",2007
"Tombstone",1993
"Office Space",1999
"Cast Away",2000
"Harry Potter and the Order of the Phoenix",2007
"Ready Player One",2018
"Ratatouille",2007
"Die Hard",1988
"Hail, Caesar!",2016
"Raising Arizona",1987
"Boogie Nights",1997
"Machine-Gun Kelly",1960
"The Immigrant",1917
"Black Sabbath",1963
"Blow Out",1981
"Beauty and the Beast",1991
"The Truman Show",1998
"Practical Magic",1998
"The Cable Guy",1996
"Moonstruck",1987
"Risky Business",1983
"My Big Fat Greek Wedding",2002
"Fantastic Planet",1973
"Deep Impact",1998
"Honey, I Shrunk the Kids",1989
"Last Action Hero",1993
"Van Helsing",2004
"Gone in 60 Seconds",2000
"GoldenEye",1995
"Layer Cake",2004
"Planes, Trains & Automobiles",1987
"The Blues Brothers",1980
"True Lies",1994
"Grease",1978
"Lethal Weapon",1987
"The Host",2006
"Starman",1984
"Once Upon a Time in Mexico",2003
"Mr. Majestyk",1974
"The Manchurian Candidate",2004
"Muriel's Wedding",1994
"Crime Story",1993
"Suburbia",1984
"In Bruges",2008
"Requiem for a Dream",2000
"Cold Pursuit",2019
"Bad Trip",2021
"King of New York",1990
"Babel",2006
"True Romance",1993
"Army of One",2016
"Dudes",1988
"The Trust",2016
"The Paper Tigers",2021
"No Regrets for Our Youth",1946
"Late Spring",1949
"The Human Condition II: Road to Eternity",1959
"The Human Condition III: A Soldier's Prayer",1961
"The Human Condition I: No Greater Love",1959
"Ikiru",1952
"The Hitchhiker's Guide to the Galaxy",2005
"Ran",1985
"Fast Times at Ridgemont High",1982
"John Wick: Chapter 2",2017
"Jurassic Park",1993
"National Treasure: Book of Secrets",2007
"Bad Lieutenant",1992
"The Brood",1979
"Pleasantville",1998
"El Mariachi",1993
"Mad Max Beyond Thunderdome",1985
"Death Race 2000",1976
"Up in Smoke",1978
"Scanners",1981
"Samurai II: Duel at Ichijoji Temple",1955
"Samurai III: Duel at Ganryu Island",1956
"Samurai I: Musashi Miyamoto",1954
"Hubie Halloween",2020
"Bronson",2009
"Locke",2014
"Ace Ventura: When Nature Calls",1995
"Ace Ventura: Pet Detective",1994
"Sleepy Hollow",1999
"Big Daddy",1999
"Time Bandits",1981
"Close Encounters of the Third Kind",1977
"The Mask",1994
"Charlie's Angels",2000
"Headshot",2016
"The Quake",2018
"The Wave",2015
"Sleepless in Seattle",1993
"Hot Rod",2007
"Gladiator",2000
"Starship Troopers",1997
"Bewitched",2005
"Hot Tub Time Machine",2010
"The Running Man",1987
"The Rock",1996
"Evil Dead II",1987
"The Evil Dead",1983
"The Addams Family",2019
"Ong-Bak: The Thai Warrior",2003
"Ong Bak 2",2008
"Man of Tai Chi",2013
"Stuber",2019
"Apostle",2018
"Carrie",2002
"Merantau",2009
"The Raid 2",2014
"The Raid: Redemption",2012
"Repo Man",1984
"The Monster Squad",1987
"An American Werewolf in London",1981
"Bill & Ted's Excellent Adventure",1989
"Fright Night",2011
"Attack the Block",2011
"Vampires vs. the Bronx",2020
"Diego Maradona",2019
"Freaky Friday",2003
"Friday",1995
"Knockabout",1979
"Triple Threat",2019
"The Protector",2005
"In the Line of Duty IV",1989
"Shaolin Soccer",2001
"Mile 22",2018
"Charlie and the Chocolate Factory",2005
"Chocolate",2008
"Kung Fu Killer",2008
"Dragon Tiger Gate",2006
"Master Z: The Ip Man Legacy",2018
"Addams Family Values",1993
"Taste of Cherry",1997
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976
"California Split",1975
"McCabe & Mrs. Miller",1971
"The Player",1992
"Hard Eight",1996
"The Craft",1996
"Babe",1995
"Lethal Weapon 3",1992
"Le Samouraï",1967
"Mean Streets",1973
"Tommy Boy",1995
"The Parent Trap",1998
"The Mummy Returns",2001
"A Christmas Story",1983
"Battle Royale",2000
"Beverly Hills Cop",1984
"The Jungle Book",1967
"When Harry Met Sally...",1989
"Lilo & Stitch",2002
"The Killing of a Chinese Bookie",1976
"The Lord of the Rings: The Return of the King",2003
"Moscow on the Hudson",1984
"The Long Kiss Goodnight",1996
"Beetlejuice",1988
"Snakes on a Plane",2006
"Star Wars: The Clone Wars",2008
"xXx: Return of Xander Cage",2017
"Black Snake Moan",2007
"Jiu Jitsu",2020
"Stolen",2012
"Primal",2019
"Vampire's Kiss",1989
"Ghost Rider: Spirit of Vengeance",2012
"The Weather Man",2005
"The Frozen Ground",2013
"Willy's Wonderland",2021
"Snake Eyes",1998
"Ghost Rider",2007
"Joe",2014
"Lord of War",2005
"Weekend",1967
"Breathless",1960
"Battleship Potemkin",1926
"The Tuxedo",2002
"Around the World in 80 Days",2004
"Rush Hour 3",2007
"The Karate Kid",2010
"The Hidden Fortress",1958
"Throne of Blood",1957
"Yojimbo",1961
"Bad Lieutenant: Port of Call New Orleans",2009
"Nosferatu the Vampyre",1979
"Fitzcarraldo",1982
"Aguirre, the Wrath of God",1974
"Even Dwarfs Started Small",1971
"Into the Inferno",2016
"Cobra Verde",1988
"Lady Snowblood 2: Love Song of Vengeance",1974
"Lady Snowblood",1973
"Creed II",2018
"Creed",2015
"Rocky V",1990
"Rocky III",1982
"Kill Zone 2",2015
"Get the Gringo",2012
"Death Race",2008
"The Legend of Zorro",2005
"Keoma",1976
"13 Assassins",2010
"Ong Bak 3",2010
"Flash Point",2007
"Missing in Action",1984
"The 36th Chamber of Shaolin",1978
"The Protector",1985
"The Protector 2",2013
"A Force of One",1979
"Disciples of the 36th Chamber",1985
"Return to the 36th Chamber",1980
"Battle Creek Brawl",1980
"Lone Wolf McQuade",1983
"Police Story",1985
"Wheels on Meals",1984
"Kill Zone",2005
"Project A",1983
"Hero",2002
"The Grandmaster",2013
"Happy Together",1997
"Windtalkers",2002
"Mission: Impossible II",2000
"Jackass Number Two",2006
"Jackass: The Movie",2002
"Assault on Precinct 13",1976
"Re-Animator",1985
"Zeitgeist",2007
"Teenage Mutant Ninja Turtles",1990
"The Dead Zone",1983
"Lethal Weapon 4",1998
"Sympathy for Mr. Vengeance",2002
"Candyman",1992
"Little Shop of Horrors",1986
"The SpongeBob SquarePants Movie",2004
"Holes",2003
"You've Got Mail",1998
"Funny Games",1997
"Bad Boys",1995
"WarGames",1983
"They Live",1988
"The Thin Red Line",1998
"Hellboy",2004
"National Lampoon's Christmas Vacation",1989
"Blade",1998
"The Matrix Revolutions",2003
"Sunshine",2007
"Raging Bull",1980
"Aladdin",1992
"Toy Story 2",1999
"Monty Python and the Holy Grail",1975
"Casino Royale",2006
"Pan's Labyrinth",2006
"The Lord of the Rings: The Fellowship of the Ring",2001
"Elf",2003
"Stargate",1994
"Rush Hour",1998
"Home Alone 2: Lost in New York",1992
"Enemy at the Gates",2001
"A Bug's Life",1998
"Tropic Thunder",2008
"Scream",1996
"Solo: A Star Wars Story",2018
"Ted",2012
"RoboCop",1987
"Inside Man",2006
"Les Misérables",2012
"Uncut Gems",2019
"Monsters University",2013
"Little Miss Sunshine",2006
"Shrek 2",2004
"Mission: Impossible - Ghost Protocol",2011
"John Wick: Chapter 3 - Parabellum",2019
"The Last Samurai",2003
"28 Days Later",2002
"Harry Potter and the Sorcerer's Stone",2001
"My Neighbor Totoro",1988
"Jackie Brown",1997
"Mulholland Drive",2001
"The Last of the Mohicans",1992
"Enter the Ninja",1981
"Black Eagle",1988
"Universal Soldier: The Return",1999
"The Bouncer",2018
"Double Team",1997
"Street Fighter",1994
"Universal Soldier: Day of Reckoning",2012
"Double Impact",1991
"Sudden Death",1995
"The Last Mercenary",2021
"Lionheart",1990
"JCVD",2008
"Universal Soldier",1992
"The Straight Story",1999
"Eraserhead",1978
"Furie",2019
"Game of Death",1978
"The Big Boss",1971
"Fist of Fury",1972
"The Way of the Dragon",1972
"Dragon: The Bruce Lee Story",1993
"Zu: Warriors from the Magic Mountain",1983
"Iron Monkey",1993
"City of Angels",1998
"Wings of Desire",1987
"A Chinese Ghost Story: The Tsui Hark Animation",1997
"Twin Peaks: Fire Walk with Me",1992
"Ip Man 2",2010
"Pearl Harbor",2001
"Miss Congeniality",2000
"Between Two Ferns: The Movie",2019
"Scary Movie",2000
"Saw II",2005
"Bad Boys II",2003
"Air Force One",1997
"Zoolander",2001
"Lady Vengeance",2005
"Tokyo Story",1953
"Enter the Dragon",1973
"Rocky IV",1985
"The Mask of Zorro",1998
"An American Pickle",2020
"Burning",2018
"Rocky Balboa",2006
"Defiance",2008
"The Last Emperor",1987
"Hocus Pocus",1993
"Rush Hour 2",2001
"The Village",2004
"Blade II",2002
"The Hangover Part II",2011
"The Expendables",2010
"Dune",1984
"Crimson Peak",2015
"The Addams Family",1991
"Super Troopers",2002
"Leaving Las Vegas",1995
"We Were Soldiers",2002
"Terminator 3: Rise of the Machines",2003
"Blood Simple",1985
"Pocahontas",1995
"The Interview",2014
"Black Mirror: Bandersnatch",2018
"Vacation",1983
"Disturbia",2007
"Unknown",2011
"The Polar Express",2004
"Legally Blonde",2001
"Escape from New York",1981
"Talladega Nights: The Ballad of Ricky Bobby",2006
"Dolemite Is My Name",2019
"Escape from Alcatraz",1979
"Infernal Affairs",2002
"Highlander",1986
"Rocky II",1979
"Ocean's Twelve",2004
"Lethal Weapon 2",1989
"Austin Powers: The Spy Who Shagged Me",1999
"Pineapple Express",2008
"Fantasia",1941
"Terminator Salvation",2009
"Kung Fu Hustle",2004
"Midnight Run",1988
"Peter Pan",1953
"Lady and the Tramp",1955
"Ice Age: The Meltdown",2006
"Mad Max",1979
"Yes Man",2008
"Angels & Demons",2009
"Mission: Impossible III",2006
"Bright",2017
"Dodgeball: A True Underdog Story",2004
"Neon Genesis Evangelion: The End of Evangelion",2019
"Desperado",1995
"Ocean's Thirteen",2007
"Night at the Museum",2006
"Contagion",2011
"The Road",2009
"Mrs. Doubtfire",1993
"Hellboy II: The Golden Army",2008
"Good Time",2017
"Only Lovers Left Alive",2013
"Armageddon",1998
"The Master",2012
"Thelma & Louise",1991
"Bruce Almighty",2003
"Signs",2002
"Paris, Texas",1984
"The Insider",1999
"Jerry Maguire",1996
"The Color of Friendship",2000
"The Peanut Butter Falcon",2019
"School of Rock",2003
"The Road Warrior",1981
"Point Break",1991
"Die Hard 2",1990
"Ponyo",2008
"Ghostbusters",2016
"Austin Powers: International Man of Mystery",1997
"National Treasure",2004
"In the Mood for Love",2000
"Chef",2014
"Constantine",2005
"Kiki's Delivery Service",1989
"Borat",2006
"Gremlins",1984
"The Da Vinci Code",2006
"Master of the Flying Guillotine",1976
"Amores Perros",2000
"Tarzan",1999
"Face/Off",1997
"Klaus",2019
"Clerks",1994
"Metropolis",1927
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
"The Sandlot",1993
"Star Wars: Episode IX - The Rise of Skywalker",2019
"Stranger Than Fiction",2006
"Star Wars: Episode II - Attack of the Clones",2002
"American Pie",1999
"The Karate Kid",1984
"Rashomon",1950
"Space Jam",1996
"Mission: Impossible",1996
"Kung Fu Panda 2",2011
"Star Wars: Episode I - The Phantom Menace",1999
"Fear and Loathing in Las Vegas",1998
"El Camino",2019
"Persona",1966
"The Cabin in the Woods",2012
"Ip Man",2008
"War Dogs",2016
"The Mummy",1999
"Dog Day Afternoon",1975
"Ghost in the Shell",1995
"From Dusk Till Dawn",1996
"Being John Malkovich",1999
"Dumb and Dumber",1994
"The 40-Year-Old Virgin",2005
"Apocalypto",2006
"World War Z",2013
"Mission: Impossible - Rogue Nation",2015
"Planet of the Apes",1968
"The Sound of Music",1965
"Isle of Dogs",2018
"Collateral",2004
"Hotel Rwanda",2004
"The Wrestler",2008
"The Fugitive",1993
"Magnolia",1999
"Mulan",1998
"Platoon",1986
"Snowpiercer",2013
"Pirates of the Caribbean: At World's End",2007
"Total Recall",1990
"Training Day",2001
"Saw",2004
"Ant-Man and the Wasp",2018
"The Matrix Reloaded",2003
"Akira",1988
"Train to Busan",2016
"50/50",2011
"Independence Day",1996
"Black Hawk Down",2002
"Zodiac",2007
"Mission: Impossible - Fallout",2018
"Home Alone",1990
"Incredibles 2",2018
"Kung Fu Panda",2008
"Predator",1987
"Once Upon a Time in America",1984
"E.T. the Extra-Terrestrial",1982
"Kick-Ass",2010
"Rocky",1976
"Ant-Man",2015
"Seven Samurai",1954
"Amélie",2001
"The Night Comes for Us",2018
"Bicycle Thieves",1948
"Taxi Driver",1976
"Kill Chain",2019
"Kill!",1968
"The Last Outlaw",1993
"The Ice Road",2021
"Dead Man Down",2013
"The Exorcist",1973
"Love Actually",2003
"The Wizard of Oz",1939
"Star Wars: Episode VIII - The Last Jedi",2017
"Ferris Bueller's Day Off",1986
"I Am Legend",2007
"I, Robot",2004
"Late Autumn",1960
"The Shape of Water",2017
"The Terminal",2004
"The Goonies",1985
"Scott Pilgrim vs. the World",2010
"Citizen Kane",1941
"It",2017
"Ice Age",2002
"Midnight in Paris",2011
"Superbad",2007
"Once Upon a Time in the West",1968
"The Nightmare Before Christmas",1993
"Ocean's Eleven",2001
"Watchmen",2009
"Star Wars: Episode III - Revenge of the Sith",2005
"The Hangover",2009
"Rain Man",1988
"Princess Mononoke",1997
"John Wick",2014
"The Hunger Games",2012
"Harry Potter and the Chamber of Secrets",2002
"The Girl with the Dragon Tattoo",2011
"The Woodsman",2004
"The Princess Bride",1987
"Trainspotting",1996
"Black Panther",2018
"There Will Be Blood",2007
"Gran Torino",2008
"The Hateful Eight",2015
"Eurovision Song Contest: The Story of Fire Saga",2020
"Donnie Darko",2001
"Taken",2008
"A Quiet Place",2018
"Into the Wild",2007
"Dunkirk",2017
"Jaws",1975
"Fargo",1996
"Rogue One: A Star Wars Story",2016
"Shrek",2001
"Harry Potter and the Prisoner of Azkaban",2004
"Blade Runner",1982
"The Incredibles",2004
"Star Wars: Episode VII - The Force Awakens",2015
"The Sixth Sense",1999
"Thor: Ragnarok",2017
"The Terminator",1984
"Onibaba",1964
"The Big Lebowski",1998
"Pirates of the Caribbean: The Curse of the Black Pearl",2003
"Avatar",2009
"Aliens",1986
"V for Vendetta",2005
"One Flew Over the Cuckoo's Nest",1975
"Reservoir Dogs",1992
"Catch Me If You Can",2002
"Snatch",2000
"Star Wars: Episode VI - Return of the Jedi",1983
"The Shining",1980
"Spirited Away",2001
"Borat Subsequent Moviefilm",2020
"Memento",2000
"The Avengers",2012
"Parasite",2019
"Alien",1979
"Star Wars: Episode IV - A New Hope",1977
"Star Wars: Episode V - The Empire Strikes Back",1980
"Terminator 2: Judgment Day",1991
"The Silence of the Lambs",1991
"The Lion King",1994
"Joker",2019
"The Departed",2006
"Django Unchained",2012
"Avengers: Infinity War",2018
"Avengers: Endgame",2019
"The Lord of the Rings: The Two Towers",2002
"The Matrix",1999
"The Ballad of Buster Scruggs",2018
"Okja",2017
"Inception",2010
"The Shawshank Redemption",1994
"Roma",2018
"The Irishman",2019
"Howl's Moving Castle",2004
